Company,Metric,Time,Percentage
KOIPOND,VOLUME,Q4 2018,2.18%
KOIPOND,REVENUE,Q4 2018,-0.11%
KOIPOND,GRATE,Q4 2018,17.91%
CHEW,VOLUME,Q4 2018,-1.50%
CHEW,REVENUE,Q4 2018,18.35%
CHEW,GRATE,Q4 2018,20.94%
TANGO,VOLUME,Q4 2018,0.00%
TANGO,REVENUE,Q4 2018,6.44%
TANGO,GRATE,Q4 2018,6.48%
KOIPOND,VOLUME,Q1 2019,-5.12%
KOIPOND,REVENUE,Q1 2019,-12.20%
KOIPOND,GRATE,Q1 2019,18.63%
CHEW,VOLUME,Q1 2019,0.50%
CHEW,REVENUE,Q1 2019,-3.55%
CHEW,GRATE,Q1 2019,10.14%
TANGO,VOLUME,Q1 2019,-4.00%
TANGO,REVENUE,Q1 2019,-6.76%
TANGO,GRATE,Q1 2019,-1.16%
KOIPOND,VOLUME,Q2 2019,-4.18%
KOIPOND,REVENUE,Q2 2019,-13.58%
KOIPOND,GRATE,Q2 2019,13.25%
CHEW,VOLUME,Q2 2019,-2.50%
CHEW,REVENUE,Q2 2019,-8.52%
CHEW,GRATE,Q2 2019,5.50%
TANGO,VOLUME,Q2 2019,-7.00%
TANGO,REVENUE,Q2 2019,-12.77%
TANGO,GRATE,Q2 2019,-5.79%
KOIPOND,VOLUME,Q3 2019,0.25%
KOIPOND,REVENUE,Q3 2019,-12.99%
KOIPOND,GRATE,Q3 2019,-15.05%
CHEW,VOLUME,Q3 2019,-4.00%
CHEW,REVENUE,Q3 2019,-11.14%
CHEW,GRATE,Q3 2019,-11.68%
TANGO,VOLUME,Q3 2019,-2.00%
TANGO,REVENUE,Q3 2019,-12.93%
TANGO,GRATE,Q3 2019,-12.80%
KOIPOND,VOLUME,Q4 2019,3.50%
KOIPOND,REVENUE,Q4 2019,-6.56%
KOIPOND,GRATE,Q4 2019,-22.52%
CHEW,VOLUME,Q4 2019,0.00%
CHEW,REVENUE,Q4 2019,-7.50%
CHEW,GRATE,Q4 2019,-21.52%
TANGO,VOLUME,Q4 2019,1.00%
TANGO,REVENUE,Q4 2019,-8.80%
TANGO,GRATE,Q4 2019,-12.43%
